Threshold,m1_fp,m1_fpr,m2_fp,m2_fpr,m3_fp,m3_fpr
0.15,9,1.0588235294117647,9,1.0588235294117647,16,1.8823529411764703
0.2,8,0.9411764705882352,8,0.9411764705882352,15,1.7647058823529411
0.25,6,0.7058823529411765,7,0.823529411764706,12,1.411764705882353
0.3,6,0.7058823529411765,4,0.4705882352941176,11,1.2941176470588236
0.35,5,0.5882352941176471,4,0.4705882352941176,9,1.0588235294117647
0.4,5,0.5882352941176471,4,0.4705882352941176,7,0.823529411764706
0.45,5,0.5882352941176471,4,0.4705882352941176,6,0.7058823529411765
0.5,4,0.4705882352941176,3,0.35294117647058826,3,0.35294117647058826
0.55,4,0.4705882352941176,3,0.35294117647058826,3,0.35294117647058826
0.6,3,0.35294117647058826,1,0.1176470588235294,2,0.2352941176470588
0.65,3,0.35294117647058826,1,0.1176470588235294,2,0.2352941176470588
0.7,2,0.2352941176470588,1,0.1176470588235294,1,0.1176470588235294
0.75,2,0.2352941176470588,1,0.1176470588235294,1,0.1176470588235294
0.8,2,0.2352941176470588,1,0.1176470588235294,1,0.1176470588235294
0.85,2,0.2352941176470588,1,0.1176470588235294,1,0.1176470588235294
0.9,0,0.0,0,0.0,1,0.1176470588235294
